keys,zh_CN
event.afghan_amin_coup.desc,四月革命后，人民民主党面临着许多困难，在快速壮大的人民派中，人民民主党创始人塔拉基和他的学生阿明之间的斗争已经开始。阿明是激进政治的支持者，赞同对封建残余势力的不懈斗争和对政治对手的严厉镇压。同时，作为一个狂热的普什图民族主义者（注释-阿富汗的主要民族），他在很大程度上阻碍了人民民主党的民族政策，试图将权力集中在自己手中，他在人民派和旗帜派之间维持了分裂。尽管苏联领导人一再警告塔拉基阿明的阴谋计划，但他直到最后一刻才注意到。9月14日，在看望塔拉基期间，阿明首次遭到袭击（尚不清楚是真的还是由阿明本人策划的），9月16日，阿明在人民民主党中央委员会全体会议上解除了塔拉基的职务，此前他曾与驻地的忠诚部队隔离。值得注意的是，尽管阿明试图与苏联保持良好关系，但根据我们的数据，他不完全反对与中国建立密切关系，这可能是我们的机会。
event.afghan_amin_coup.option_0.result,阿明上台后，针对他目前和潜在的政治对手，发起了广泛的肃清运动。尽管有“消灭封建领主”的政策，但在这一政策下，不仅仅是在“消灭封建领主”。尽管它假装一切都很好，但苏联似乎对政变有些不满。
event.afghan_amin_coup.option_0.text,最好还是不要介入
event.afghan_amin_coup.option_1.result,阿明上台后，针对他目前和潜在的政治对手，发起了广泛的肃清运动。尽管有“消灭封建领主”的政策，但在这一政策下，不仅仅是在“消灭封建领主”。尽管它假装一切都很好，但苏联似乎对政变有些不满。我们的秘密大使和特勤处与阿明建立了联系，阿明对新盟友的获得非常满意。然而，与此同时，他开始要求我们向阿富汗提供物质援助。
event.afghan_amin_coup.option_1.text,与阿富汗民主共和国秘密建立友好关系（需要2百万元预算）
event.afghan_amin_coup.option_2.disabled,不与苏联勾结！
event.afghan_amin_coup.option_2.text,我们不信任他…最好秘密同意苏联撤换他，也许我们会从新政府那里得到一些东西
event.afghan_amin_coup.title,政变的延续
event.afghan_april_revolution.desc,紧急新闻！4月27日，在阿富汗，由于权力不稳定、贫困和人民对逮捕左翼反对派人民民主党领导人的不满，人民民主党事先策划了一场军事政变。人民对革命表示欢迎。执政后，以努尔·穆罕默德·塔拉基为首的阿富汗民主共和国开始了社会主义的建设和对苏联的定位。然而，阿富汗的未来仍不明朗，因为在人民民主党内，人民派和旗帜派之间仍然存在着压倒性的分裂，从1966年到1977年，这两个派系实际上是两个独立的派系。人民派主要由低收入者和半无产阶级组成，在以非法劳动为重点的反对活动中，主张进行革命斗争，现在寻求组织国家向社会主义和无产阶级专政的快速过渡。旗帜派在反对党的几年里把法律和议会斗争放在首位，现在代表着逐步的、全面的民主改革，并且普遍倾向于改良主义，认为阿富汗还没有准备好建设社会主义。同时，中国共产党对苏维埃在该地区的影响力扩大表示严重关切。
event.afghan_april_revolution.option_0.result,我们没有回应四月革命和阿富汗民主共和国的事件。当然，党对这种被动态度不满意。在阿富汗民主共和国，在革命期间获得权威的人民派，正积极地试图夺走旗帜派的权力。
event.afghan_april_revolution.option_0.text,不干涉阿富汗事务
event.afghan_april_revolution.option_1.disabled,我们帮不着他们
event.afghan_april_revolution.option_1.result,中国共产党领导层对苏维埃势力的扩大感到不满，决定向忠于中国的阿富汗反对派提供切实可行的支持。向毛派、左翼反对党、温和的伊斯兰主义者和其他反对势力提供武器和秘密援助。希望这能阻止苏联的扩张。
event.afghan_april_revolution.option_1.text,支持阿富汗民主共和国中忠于我们的反对派
event.afghan_april_revolution.option_2.disabled,他们将不会合作
event.afghan_april_revolution.option_2.result,经过长期的争论，我们决定与阿富汗新政府建立关系，特别是与阿富汗人民民主党的人民派建立关系。事实证明，这比我们想象的要简单，因为阿富汗人民民主党没有参加苏中论战，而且在执政后名义上宣布了不结盟政策。人民派感谢我们的支持，显然，他们利用他们日益增长的力量向旗帜派施加压力，并在阿富汗民主共和国获得垄断权力。
event.afghan_april_revolution.option_2.text,建立关系并支持人民派
event.afghan_april_revolution.option_3.disabled,他们将不会合作
event.afghan_april_revolution.option_3.result,经过长期的争论，我们决定与阿富汗新政府建立关系，特别是与阿富汗人民民主党的旗帜派建立关系。事实证明，这比我们想象的要简单，因为阿富汗人民民主党没有参加苏中论战，而且在执政后名义上宣布了不结盟政策。在我们的支持下，旗帜派成功地克服了来自人民派日益增长的压力，特别地，旗帜派和一些人民派，减缓了塔拉基的亲密盟友哈菲祖拉·阿明的晋升速度，他不再受到党的信任。
event.afghan_april_revolution.option_3.text,建立关系并支持旗帜派
event.afghan_april_revolution.title,四月革命
event.afghan_civil_war.desc,在最近导致阿富汗局势恶化的事件之后，美国支持的伊斯兰主义者和其他反动派的长期起义进入了白热化阶段。根据最近通过的计划，苏联应民主共和国政府的要求向阿富汗增兵，这已经在西方引起了一波愤怒。尽管民众最初与苏联军队的接触相当友好，但对他们的武装分子袭击事件却越来越频繁。与此同时，最初只包括保护重要目标的有限分遣队的任务正在逐步扩大，而且似乎最终将充分参与敌对行动。阿富汗战争已经开始，我们需要决定我们将支持谁。
event.afghan_civil_war.option_0.result,我们决定不参与阿富汗事务。与此同时，在这个国家，内战正如火如荼般的进行着，没有人能预料到战争的结果。
event.afghan_civil_war.option_0.text,谁都不管，这可不关我们的事
event.afghan_civil_war.option_1.disabled,苏联不允许我们进行如此深入的介入
